Created,Caller Postcode,Accused,Type of Noise Causing a Nuisance,Sr_Num ,Enq Type
14-May-24,LS6 ,LS6 3,Dog Barking,Out ofHours,Out ofHours
14-May-24,LS26 ,LS26 0,Loud Music,Out ofHours,Out ofHours
14-May-24,LS13 ,LS13 3,Loud Music,Out ofHours,Out ofHours
14-May-24,LS8 ,LS8 1,Loud Music,Out ofHours,Out ofHours
14-May-24,LS12 ,LS12 5,Banging On Walls/Ceiling/Floor,Out ofHours,Out ofHours
15-May-24,LS13 ,LS13 3,Loud Music,Out ofHours,Out ofHours
15-May-24,LS10 ,LS10 4,Banging On Walls/Ceiling/Floor,Out ofHours,Out ofHours
15-May-24,LS8 ,LS8,Loud Music,Out ofHours,Out ofHours
15-May-24,LS7 ,LS7 3,Loud Music,Out ofHours,Out ofHours
15-May-24,LS3 ,LS3 1,Dog Barking,Out ofHours,Out ofHours
15-May-24,LS10 ,LS10 2,Loud Music,Out ofHours,Out ofHours
15-May-24,LS8 ,LS8 3,TV,Out ofHours,Out ofHours
15-May-24,LS27 ,LS27 8,Loud Music,Out ofHours,Out ofHours
15-May-24,LS12 ,LS12 5,Banging On Walls/Ceiling/Floor,Out ofHours,Out ofHours
15-May-24,LS16 ,LS16 6,Loud Music,Out ofHours,Out ofHours
15-May-24,LS11 ,LS11 0,Shouting,Out ofHours,Out ofHours
15-May-24,LS6 ,LS6 1,Loud Music,Out ofHours,Out ofHours
15-May-24,LS6 ,LS6,Dog Barking,Out ofHours,Out ofHours
15-May-24,LS17 ,LS17 5,Shouting,Out ofHours,Out ofHours
15-May-24,LS6 ,LS6 1,Party,Out ofHours,Out ofHours
16-May-24,LS13 ,LS13 3,Loud Music,Out ofHours,Out ofHours
16-May-24,LS7 ,LS7 4,Loud Music,Out ofHours,Out ofHours
16-May-24,LS14 ,LS14 6,Loud Music,Out ofHours,Out ofHours
16-May-24,LS12,LS12 3,Loud Music,Out ofHours,Out ofHours
16-May-24,LS9 ,LS9 9,Loud Music,Out ofHours,Out ofHours
16-May-24,LS6,LS6 4,Banging On Walls/Ceiling/Floor,Out ofHours,Out ofHours
16-May-24,LS4 ,LS4 2,Shouting,Out ofHours,Out ofHours
16-May-24,LS6,LS6,Loud Music,Out ofHours,Out ofHours
16-May-24,LS16,LS16 6,TV,Out ofHours,Out ofHours
16-May-24,LS6 ,LS6 3,Party,Out ofHours,Out ofHours
16-May-24,LS6 ,LS6 1,Party,Out ofHours,Out ofHours
16-May-24,LS6 ,LS6,Shouting,Out ofHours,Out ofHours
17-May-24,LS6,LS6,Loud Music,Out ofHours,Out ofHours
17-May-24,LS6,LS6,Party,Out ofHours,Out ofHours
17-May-24,LS6 ,LS6,Party,Out ofHours,Out ofHours
17-May-24,LS6,LS6,Party,Out ofHours,Out ofHours
17-May-24,LS17,LS17 5,Shouting,Out ofHours,Out ofHours
17-May-24,LS8,LS8 1,Banging On Walls/Ceiling/Floor,Out ofHours,Out ofHours
17-May-24,LS6,LS6 3,Party,Out ofHours,Out ofHours
17-May-24,LS2 ,LS2,Party,Out ofHours,Out ofHours
17-May-24,LS14 ,LS14 1,Loud Music,Out ofHours,Out ofHours
17-May-24,LS12 ,LS12 3,Loud Music,Out ofHours,Out ofHours
17-May-24,LS16 ,LS16 5,Banging On Walls/Ceiling/Floor,Out ofHours,Out ofHours
17-May-24,LS8 ,LS8 5,Loud Music,Out ofHours,Out ofHours
17-May-24,LS17 ,LS17 6,Loud Music,Out ofHours,Out ofHours
17-May-24,LS6 ,LS6 1,Loud Music,Out ofHours,Out ofHours
17-May-24,LS8 ,LS8 5,Loud Music,Out ofHours,Out ofHours
17-May-24,LS8 ,LS8 5,Loud Music,Out ofHours,Out ofHours
17-May-24,LS6 ,LS6,Party,Out ofHours,Out ofHours
17-May-24,LS6 ,LD6 1,Party,Out ofHours,Out ofHours
17-May-24,LS6 ,LS6 1,Loud Music,Out ofHours,Out ofHours
17-May-24,LS6 ,LS6 2,Banging On Walls/Ceiling/Floor,Out ofHours,Out ofHours
17-May-24,LS16 ,LS16 6,Shouting,Out ofHours,Out ofHours
17-May-24,LS6 ,LS6 3,Dog Barking,Out ofHours,Out ofHours
17-May-24,LS9 ,LS9 7,Banging On Walls/Ceiling/Floor,Out ofHours,Out ofHours
17-May-24,LS27 ,LS27,Shouting,Out ofHours,Out ofHours
17-May-24,LS6 ,LS6 1,Shouting,Out ofHours,Out ofHours
18-May-24,LS27 ,LS27,Loud Music,Out ofHours,Out ofHours
18-May-24,LS6 ,LS6,Shouting,Out ofHours,Out ofHours
18-May-24,LS6 ,LS6,Loud Music,Out ofHours,Out ofHours
18-May-24,LS8,LS8,Dog Barking,Out ofHours,Out ofHours
18-May-24,LS6,LS6 1,Shouting,Out ofHours,Out ofHours
18-May-24,LS6 ,LS6,Loud Music,Out ofHours,Out ofHours
18-May-24,LS9 ,LS9 7,Banging On Walls/Ceiling/Floor,Out ofHours,Out ofHours
18-May-24,LS7 ,LS7 3,Loud Music,Out ofHours,Out ofHours
18-May-24,LS14 ,LS14 1,Loud Music,Out ofHours,Out ofHours
18-May-24,LS6 ,LS6 1,Loud Music,Out ofHours,Out ofHours
18-May-24,LS6 ,LS6 3,Loud Music,Out ofHours,Out ofHours
18-May-24,LS28 ,LS28 5,Loud Music,Out ofHours,Out ofHours
18-May-24,LS12 ,LS12 3,Loud Music,Out ofHours,Out ofHours
18-May-24,LS8 ,LS8 3,DIY,Out ofHours,Out ofHours
18-May-24,LS7 ,LS7 1,Loud Music,Out ofHours,Out ofHours
18-May-24,LS8 ,LS8 5,Dog Barking,Out ofHours,Out ofHours
18-May-24,LS5 ,LS5 3,Loud Music,Out ofHours,Out ofHours
18-May-24,LS8 ,LS8 3,Loud Music,Out ofHours,Out ofHours
18-May-24,LS27 ,LS27 7,Loud Music,Out ofHours,Out ofHours
18-May-24,LS21 ,LS21 2,Loud Music,Out ofHours,Out ofHours
18-May-24,LS6 ,LS6 3,Loud Music,Out ofHours,Out ofHours
18-May-24,LS6 ,LS6 3,Loud Music,Out ofHours,Out ofHours
18-May-24,LS16 ,LS16 7,Loud Music,Out ofHours,Out ofHours
18-May-24,LS13 ,LS13 2,Loud Music,Out ofHours,Out ofHours
18-May-24,LS12 ,LS12 5,Banging On Walls/Ceiling/Floor,Out ofHours,Out ofHours
18-May-24,LS27 ,LS27 0,Loud Music,Out ofHours,Out ofHours
18-May-24,LS6 ,LS6 1,Loud Music,Out ofHours,Out ofHours
18-May-24,LS11 ,LS11,Loud Music,Out ofHours,Out ofHours
18-May-24,LS6 ,LS6 1,Loud Music,Out ofHours,Out ofHours
18-May-24,LS6 ,LS6 3,Dog Barking,Out ofHours,Out ofHours
18-May-24,LS6 ,LS6 1,Loud Music,Out ofHours,Out ofHours
18-May-24,LS2 ,LS2,Party,Out ofHours,Out ofHours
18-May-24,LS8 ,LS8 3,Loud Music,Out ofHours,Out ofHours
18-May-24,LS15 ,LS15 7,Shouting,Out ofHours,Out ofHours
19-May-24,WF3 ,WF3,Loud Music,Out ofHours,Out ofHours
19-May-24,LS19 ,LS19 7,Shouting,Out ofHours,Out ofHours
19-May-24,LS14 ,LS14,Party,Out ofHours,Out ofHours
19-May-24,LS6 ,LS6,Party,Out ofHours,Out ofHours
19-May-24,LS2 ,LS2 9,Shouting,Out ofHours,Out ofHours
19-May-24,LS9 ,LS9 0,Loud Music,Out ofHours,Out ofHours
19-May-24,LS2 ,LS2 9,Loud Music,Out ofHours,Out ofHours
19-May-24,LS4 ,LS4,Party,Out ofHours,Out ofHours
19-May-24,LS6 ,LS6 1,Loud Music,Out ofHours,Out ofHours
19-May-24,LS3 ,LS3 1,Loud Music,Out ofHours,Out ofHours
19-May-24,LS6,LS6 1,Loud Music,Out ofHours,Out ofHours
19-May-24,LS14 ,LS14 1,Loud Music,Out ofHours,Out ofHours
