Created,Caller Postcode,Accused Postcode,Type of Noise Causing a Nuisance,Sr_Num ,Enq Type
18/09/2024,LS19 ,LS19 7,Dog Barking,Out ofHours,Out ofHours
18/09/2024,LS1 ,LS1,Loud Music,Out ofHours,Out ofHours
18/09/2024,LS10 ,LS10 4,TV,Out ofHours,Out ofHours
18/09/2024,LS6 ,LS6 1,Loud Music,Out ofHours,Out ofHours
18/09/2024,LS9 ,LS9 7,Loud Music,Out ofHours,Out ofHours
18/09/2024,LS5 ,LS5 3,Loud Music,Out ofHours,Out ofHours
18/09/2024,LS26 ,LS26 0,TV,Out ofHours,Out ofHours
18/09/2024,LS8 ,LS8 4,Party,Out ofHours,Out ofHours
18/09/2024,LS9 ,LS9 9,Loud Music,Out ofHours,Out ofHours
18/09/2024,LS6 ,LS6 1,Please select,Out ofHours,Out ofHours
19/09/2024,LS6 ,LS6 1,Party,Out ofHours,Out ofHours
19/09/2024,BD11 ,BD11 1,Shouting,Out ofHours,Out ofHours
19/09/2024,LS16 ,LS16 5,Dog Barking,Out ofHours,Out ofHours
19/09/2024,LS28 ,LS28 6,Loud Music,Out ofHours,Out ofHours
19/09/2024,LS26 ,LS26 0,Loud Music,Out ofHours,Out ofHours
19/09/2024,LS13 ,LS13 4,Loud Music,Out ofHours,Out ofHours
19/09/2024,LS16,LS16 6,Loud Music,Out ofHours,Out ofHours
19/09/2024,LS6 ,LS6 3,TV,Out ofHours,Out ofHours
19/09/2024,LS7 ,LS7 4,Loud Music,Out ofHours,Out ofHours
19/09/2024,LS4 ,LS4 2,Loud Music,Out ofHours,Out ofHours
19/09/2024,LS26,LS26 0,TV,Out ofHours,Out ofHours
19/09/2024,LS9 ,LS9 7,Banging On Walls/Ceiling/Floor,Out ofHours,Out ofHours
19/09/2024,LS6,LS6,Party,Out ofHours,Out ofHours
19/09/2024,LS6,LS6,Loud Music,Out ofHours,Out ofHours
19/09/2024,LS6 ,LS6,Shouting,Out ofHours,Out ofHours
19/09/2024,LS7 ,LS7 3,Loud Music,Out ofHours,Out ofHours
19/09/2024,LS7 ,LS7,Party,Out ofHours,Out ofHours
20/09/2024,LS6,LS6 1,Shouting,Out ofHours,Out ofHours
20/09/2024,LS14,LS14,Please select,Out ofHours,Out ofHours
20/09/2024,LS6,LS6,Loud Music,Out ofHours,Out ofHours
20/09/2024,LS26,LS26,TV,Out ofHours,Out ofHours
20/09/2024,LS7,LS7 2,Loud Music,Out ofHours,Out ofHours
20/09/2024,LS8 ,LS8 2,Loud Music,Out ofHours,Out ofHours
20/09/2024,LS20,LS20 9,Dog Barking,Out ofHours,Out ofHours
20/09/2024,LS16,LS16 7,Banging On Walls/Ceiling/Floor,Out ofHours,Out ofHours
20/09/2024,LS26 ,LS26,TV,Out ofHours,Out ofHours
20/09/2024,LS6,LS6,Shouting,Out ofHours,Out ofHours
20/09/2024,LS9 ,LS9 9,Loud Music,Out ofHours,Out ofHours
20/09/2024,LS8,LS8 2,Loud Music,Out ofHours,Out ofHours
20/09/2024,LS6,LS6,Party,Out ofHours,Out ofHours
20/09/2024,LS6 ,LS6 1,Party,Out ofHours,Out ofHours
20/09/2024,LS9,LS9 9,Loud Music,Out ofHours,Out ofHours
20/09/2024,LS2 ,LS2 8,Shouting,Out ofHours,Out ofHours
21/09/2024,LS6 ,LS6 1,Party,Out ofHours,Out ofHours
21/09/2024,LS12 ,LS12 3,Loud Music,Out ofHours,Out ofHours
21/09/2024,LS18,LS18,Banging On Walls/Ceiling/Floor,Out ofHours,Out ofHours
21/09/2024,LS9 ,LS9 6,Loud Music,Out ofHours,Out ofHours
21/09/2024,LS14,LS14,Loud Music,Out ofHours,Out ofHours
21/09/2024,LS16,LS16,Party,Out ofHours,Out ofHours
21/09/2024,LS8,LS8,Loud Music,Out ofHours,Out ofHours
21/09/2024,LS9,LS9,Loud Music,Out ofHours,Out ofHours
21/09/2024,LS6,LS6,Loud Music,Out ofHours,Out ofHours
21/09/2024,LS26,LS26 0,TV,Out ofHours,Out ofHours
21/09/2024,LS18,LS18,Banging On Walls/Ceiling/Floor,Out ofHours,Out ofHours
21/09/2024,LS14 ,LS14,Party,Out ofHours,Out ofHours
21/09/2024,LS20,LS20,Dog Barking,Out ofHours,Out ofHours
21/09/2024,LS6,LS6,Loud Music,Out ofHours,Out ofHours
21/09/2024,LS8 ,LS8 2,Loud Music,Out ofHours,Out ofHours
21/09/2024,LS4 ,LS4 2,Banging On Walls/Ceiling/Floor,Out ofHours,Out ofHours
21/09/2024,LS9,LS9,Loud Music,Out ofHours,Out ofHours
21/09/2024,LS15 ,LS15,Shouting,Out ofHours,Out ofHours
21/09/2024,LS20,LS20,Dog Barking,Out ofHours,Out ofHours
21/09/2024,LS9,LS9,Loud Music,Out ofHours,Out ofHours
21/09/2024,LS12,LS12,Alarm,Out ofHours,Out ofHours
21/09/2024,LS6,LS6,Party,Out ofHours,Out ofHours
21/09/2024,LS13,LS13,Party,Out ofHours,Out ofHours
21/09/2024,LS9,LS97,Loud Music,Out ofHours,Out ofHours
21/09/2024,LS10,LS10,Party,Out ofHours,Out ofHours
21/09/2024,LS6 ,LS6,Loud Music,Out ofHours,Out ofHours
21/09/2024,LS9,LS9,Loud Music,Out ofHours,Out ofHours
21/09/2024,LS6 ,LS6,Party,Out ofHours,Out ofHours
22/09/2024,,LS6,Party,Out ofHours,Out ofHours
22/09/2024,LS6,LS6,Party,Out ofHours,Out ofHours
22/09/2024,LS18 ,LS18 5,Loud Music,Out ofHours,Out ofHours
22/09/2024,LS10 ,LS10 1,Shouting,Out ofHours,Out ofHours
22/09/2024,LS6 ,LS6 2,Loud Music,Out ofHours,Out ofHours
22/09/2024,LS6 ,LS6 2,Loud Music,Out ofHours,Out ofHours
22/09/2024,LS9,LS97,Please select,Out ofHours,Out ofHours
22/09/2024,LS26 ,LS26 0,Loud Music,Out ofHours,Out ofHours
22/09/2024,LS6,LS6,Shouting,Out ofHours,Out ofHours
22/09/2024,LS1 ,LS1 8,Alarm,Out ofHours,Out ofHours
22/09/2024,LS9 ,LS9 7,Shouting,Out ofHours,Out ofHours
22/09/2024,LS8 ,LS8 4,DIY,Out ofHours,Out ofHours
22/09/2024,LS9 ,LS9 9,Loud Music,Out ofHours,Out ofHours
22/09/2024,LS8 ,LS8 4,DIY,Out ofHours,Out ofHours
22/09/2024,LS7 ,LS7 2,Loud Music,Out ofHours,Out ofHours
22/09/2024,LS10 ,LS10 3,Loud Music,Out ofHours,Out ofHours
22/09/2024,LS12 ,LS12 5,Shouting,Out ofHours,Out ofHours
22/09/2024,LS12 ,LS12 5,Loud Music,Out ofHours,Out ofHours
22/09/2024,LS11 ,LS11 7,Loud Music,Out ofHours,Out ofHours
22/09/2024,LS18 ,LS18 5,Shouting,Out ofHours,Out ofHours
23/09/2024,LS6 ,LS6 3,Loud Music,Out ofHours,Out ofHours
23/09/2024,LS7 ,LS7 3,Shouting,Out ofHours,Out ofHours
23/09/2024,LS15 ,LS15 0,Dog Barking,Out ofHours,Out ofHours
23/09/2024,LS12 ,LS12 2,Loud Music,Out ofHours,Out ofHours
23/09/2024,LS16 ,LS16 6,Banging On Walls/Ceiling/Floor,Out ofHours,Out ofHours
