Created,Caller Postcode,Noise type
11/06/2017 20:56,LS12 3,MUSIC
11/06/2017 20:41,LS8 1,PARTY
11/06/2017 20:32,LS11 5,MUSIC
11/06/2017 20:17,LS14 5,MUSIC
11/06/2017 19:58,LS8 1,MUSIC
11/06/2017 18:33,LS8 1,PARTY
11/06/2017 18:25,LS12 2,ALARM
11/06/2017 18:14,LS14 1,MUSIC
11/06/2017 11:14,WF3 1,MUSIC
11/06/2017 09:22,LS31,OTHER
11/06/2017 03:52,Ls20 8,MUSIC
11/06/2017 03:45,Ls7 1 ,MUSIC
11/06/2017 02:42,Ls16 5,MUSIC
11/06/2017 02:36,Ls6 6,PARTY
11/06/2017 02:24,ls12 5,MUSIC
11/06/2017 02:15,ls6 1,MUSIC
11/06/2017 01:55,ls26 8,MUSIC
11/06/2017 01:46,WF3 1,PARTY
11/06/2017 01:22,ls6 2,PARTY
11/06/2017 01:11,ls1 6,MUSIC
11/06/2017 01:04,Ls16 8,MUSIC
11/06/2017 00:57,ls8 1,SHOUTING
10/06/2017 23:58,LS8 3,PARTY
10/06/2017 23:54,LS27 8,MUSIC
10/06/2017 23:49,LS8 1,BANGING ON WALLS/CEILING/FLOOR
10/06/2017 23:37,LS25 1,MUSIC
10/06/2017 23:34,LS27 8,MUSIC
10/06/2017 23:09,LS7 3,SHOUTING
10/06/2017 22:59,LS27 8,MUSIC
10/06/2017 22:48,LS27 8,MUSIC
10/06/2017 22:44,LS1 6,MUSIC
10/06/2017 22:14,LS27 8,PARTY
10/06/2017 22:08,LS27 8,MUSIC
10/06/2017 22:07,WF3 1,PARTY
10/06/2017 21:57,LS11 0,MUSIC
10/06/2017 21:55,LS27 8,PARTY
10/06/2017 21:51,LS18 5,MUSIC
10/06/2017 21:40,LS26 8,MUSIC
10/06/2017 20:58,BD11 1,DOG BARKING
10/06/2017 20:02,LS27 8,PARTY
10/06/2017 19:35,LS6 1,ALARM
10/06/2017 18:47,LS27 8,PARTY
10/06/2017 18:35,LS13 4,MUSIC
10/06/2017 18:30,LS14 5,MUSIC
10/06/2017 17:19,LS6 1,ALARM
10/06/2017 11:08,LS17 5,DOG BARKING
10/06/2017 07:52,LS14 6,DOG BARKING
10/06/2017 05:56,Ls7 1,SHOUTING
10/06/2017 05:39,Ls27 9,SHOUTING
10/06/2017 03:20,LS8 5,OTHER
10/06/2017 02:54,LS28 9,BANGING ON WALLS/CEILING/FLOOR
10/06/2017 02:41,LS11 0,MUSIC
10/06/2017 02:35,LS5 3,MUSIC
10/06/2017 02:21,LS14 6,MUSIC
10/06/2017 02:18,LS6 1,MUSIC
10/06/2017 01:58,#VALUE!,MUSIC
10/06/2017 01:55,LS14 6,MUSIC
10/06/2017 01:51,LS9 6,MUSIC
