Created1,Caller Postcode,Accused Postcode,Type of Noise Causing a Nuisance,Sr_Num ,Enq Type
12/08/2022,LS11 ,LS11 7,MUSIC,Out ofHours,Out ofHours
12/08/2022,LS11 ,LS11 7,MUSIC,Out ofHours,Out ofHours
12/08/2022,LS13 ,LS13 2,SHOUTING,Out ofHours,Out ofHours
12/08/2022,LS25 ,LS25 7,DOG BARKING,Out ofHours,Out ofHours
12/08/2022,LS7 ,LS7 3,SHOUTING,Out ofHours,Out ofHours
12/08/2022,LS11 ,LS11 7,MUSIC,Out ofHours,Out ofHours
12/08/2022,LS11 ,LS11 7,MUSIC,Out ofHours,Out ofHours
12/08/2022,LS12 ,LS12 4,MUSIC,Out ofHours,Out ofHours
12/08/2022,LS9 ,LS9 9,TV,Out ofHours,Out ofHours
12/08/2022,LS6 ,LS6 1,MUSIC,Out ofHours,Out ofHours
12/08/2022,LS9 ,LS9 9,MUSIC,Out ofHours,Out ofHours
12/08/2022,LS9 ,LS9 9,TV,Out ofHours,Out ofHours
12/08/2022,LS21 ,LS21 3,MUSIC,Out ofHours,Out ofHours
12/08/2022,LS27 ,LS27 7,DOG BARKING,Out ofHours,Out ofHours
12/08/2022,LS18 ,LS18 4,DOG BARKING,Out ofHours,Out ofHours
12/08/2022,LS14 ,LS14 2,MUSIC,Out ofHours,Out ofHours
12/08/2022,LS14 ,LS14 6,SHOUTING,Out ofHours,Out ofHours
12/08/2022,WF3 ,WF3 3,MUSIC,Out ofHours,Out ofHours
12/08/2022,LS8 ,LS8 2,DIY,Out ofHours,Out ofHours
12/08/2022,LS27 ,LS27 7,MUSIC,Out ofHours,Out ofHours
12/08/2022,LS9 ,LS9 9,MUSIC,Out ofHours,Out ofHours
12/08/2022,LS11 ,LS11 5,MUSIC,Out ofHours,Out ofHours
12/08/2022,LS12 ,LS12 5,BANGING ON WALLS/CEILING/FLOOR,Out ofHours,Out ofHours
12/08/2022,LS26 ,LS26 0,MUSIC,Out ofHours,Out ofHours
12/08/2022,LS12 ,LS12 5,SHOUTING,Out ofHours,Out ofHours
12/08/2022,BD4 ,BD4 8,DOG BARKING,Out ofHours,Out ofHours
12/08/2022,LS12 ,LS12 1,MUSIC,Out ofHours,Out ofHours
12/08/2022,LS18 ,LS18 4,DOG BARKING,Out ofHours,Out ofHours
12/08/2022,LS9 ,LS9 8,PARTY,Out ofHours,Out ofHours
12/08/2022,LS14 ,LS14 3,MUSIC,Out ofHours,Out ofHours
12/08/2022,WF3 ,WF3 3,MUSIC,Out ofHours,Out ofHours
12/08/2022,LS14 ,LS14 6,MUSIC,Out ofHours,Out ofHours
12/08/2022,LS9 ,LS9 6,MUSIC,Out ofHours,Out ofHours
