Created,Caller Postcode,Accused Postcode,Type of Noise Causing a Nuisance,Sr_Num ,Enq Type
28/07/2024,LS12 ,LS12 5,Loud Music,Out ofHours,Out ofHours
28/07/2024,LS10 ,LS10,Party,Out ofHours,Out ofHours
28/07/2024,LS10 ,LS10,Loud Music,Out ofHours,Out ofHours
28/07/2024,LS10 ,LS10 4,Party,Out ofHours,Out ofHours
28/07/2024,LS7 ,LS7 2,Dog Barking,Out ofHours,Out ofHours
28/07/2024,LS9 ,LS9,Loud Music,Out ofHours,Out ofHours
28/07/2024,LS18 ,LS1,Loud Music,Out ofHours,Out ofHours
28/07/2024,LS6 ,LS6 2,Loud Music,Out ofHours,Out ofHours
28/07/2024,LS8 ,LS8 3,Alarm,Out ofHours,Out ofHours
28/07/2024,LS8 ,LS8 3,Alarm,Out ofHours,Out ofHours
28/07/2024,LS9 ,LS9 0,Shouting,Out ofHours,Out ofHours
28/07/2024,LS9 ,LS9 0,Shouting,Out ofHours,Out ofHours
28/07/2024,LS9 ,LS9,Loud Music,Out ofHours,Out ofHours
